AH_AnalogNo,AH_Time,AH_Value
19534,2018/3/27 00:12:40.000,883671.429
19534,2018/3/27 00:27:40.000,883672
19534,2018/3/27 00:42:40.000,883673.024
19534,2018/3/27 00:57:43.000,883674.429
19534,2018/3/27 01:12:39.000,883675.008
19534,2018/3/27 01:27:38.000,883676.032
19534,2018/3/27 01:42:40.000,883677.429
19534,2018/3/27 01:52:39.000,883678.016
19534,2018/3/27 02:07:40.000,883679.429
19534,2018/3/27 02:22:40.000,883680
19534,2018/3/27 02:37:38.000,883681.024
19534,2018/3/27 02:57:38.000,883682.429
19534,2018/3/27 03:07:40.000,883683.008
19534,2018/3/27 03:22:40.000,883684.429
19534,2018/3/27 03:42:43.000,883685.429
19534,2018/3/27 03:52:43.000,883686.016
19534,2018/3/27 04:07:42.000,883687.429
19534,2018/3/27 04:22:40.000,883688
19534,2018/3/27 04:37:41.000,883689.024
19534,2018/3/27 04:52:42.000,883690.429
19534,2018/3/27 05:02:40.000,883691.008
19534,2018/3/27 05:17:40.000,883692.032
19534,2018/3/27 05:32:40.000,883693.429
19534,2018/3/27 05:47:40.000,883694.016
19534,2018/3/27 06:02:39.000,883695.429
19534,2018/3/27 06:17:39.000,883696
19534,2018/3/27 06:32:45.000,883697.024
19534,2018/3/27 06:47:46.000,883698.429
19534,2018/3/27 07:02:47.000,883699.008
19534,2018/3/27 07:07:45.000,883700.429
19534,2018/3/27 07:17:46.000,883701.429
19534,2018/3/27 07:27:47.000,883702.016
19534,2018/3/27 07:42:47.000,883703.429
19534,2018/3/27 07:47:48.000,883704
19534,2018/3/27 07:57:47.000,883705.024
19534,2018/3/27 08:12:47.000,883707.008
19534,2018/3/27 08:22:48.000,883708.032
19534,2018/3/27 08:32:47.000,883709.429
19534,2018/3/27 08:42:47.000,883710.016
19534,2018/3/27 08:52:46.000,883711.429
19534,2018/3/27 09:17:47.000,883714.429
19534,2018/3/27 09:27:48.000,883715.008
19534,2018/3/27 09:37:50.000,883716.429
19534,2018/3/27 09:47:49.000,883717.429
19534,2018/3/27 09:57:50.000,883718.016
19534,2018/3/27 10:02:49.000,883719.429
19534,2018/3/27 10:12:48.000,883720
19534,2018/3/27 10:22:45.000,883721.024
19534,2018/3/27 10:32:43.000,883722.429
19534,2018/3/27 10:42:45.000,883723.008
19534,2018/3/27 10:47:44.000,883724.032
19534,2018/3/27 10:57:45.000,883725.429
19534,2018/3/27 11:07:43.000,883726.016
19534,2018/3/27 11:17:43.000,883727.429
19534,2018/3/27 11:27:44.000,883728
19534,2018/3/27 11:37:43.000,883729.024
19534,2018/3/27 11:42:46.000,883730.429
19534,2018/3/27 11:52:44.000,883731.008
19534,2018/3/27 12:02:45.000,883732.429
19534,2018/3/27 12:12:44.000,883733.429
19534,2018/3/27 12:22:45.000,883734.016
19534,2018/3/27 12:27:45.000,883735.429
19534,2018/3/27 12:37:45.000,883736
19534,2018/3/27 12:47:43.000,883737.024
19534,2018/3/27 12:57:44.000,883738.429
19534,2018/3/27 13:07:43.000,883739.008
19534,2018/3/27 13:12:44.000,883740.032
19534,2018/3/27 13:22:44.000,883741.429
19534,2018/3/27 13:32:44.000,883742.016
19534,2018/3/27 13:42:44.000,883743.429
19534,2018/3/27 13:52:45.000,883744
19534,2018/3/27 14:02:44.000,883745.024
19534,2018/3/27 14:12:43.000,883746.429
19534,2018/3/27 14:17:43.000,883747.008
19534,2018/3/27 14:27:44.000,883748.429
19534,2018/3/27 14:37:44.000,883749.429
19534,2018/3/27 14:47:44.000,883750.016
19534,2018/3/27 14:57:45.000,883751.429
19534,2018/3/27 15:07:43.000,883752
19534,2018/3/27 15:22:42.000,883753.024
19534,2018/3/27 15:27:44.000,883754.429
19534,2018/3/27 15:37:46.000,883755.008
19534,2018/3/27 15:47:44.000,883756.032
19534,2018/3/27 15:57:43.000,883757.429
19534,2018/3/27 16:07:43.000,883758.016
19534,2018/3/27 16:17:45.000,883759.429
19534,2018/3/27 16:27:44.000,883760
19534,2018/3/27 16:37:45.000,883761.024
