Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-03-29 08:00:00,18,0.0,78,2,2
2018-03-29 09:00:00,19,0.0,74,5,2
2018-03-29 10:00:00,20,0.0,74,7,2
2018-03-29 11:00:00,20,0.0,70,1,3
2018-03-29 12:00:00,21,0.0,65,0,1
2018-03-29 13:00:00,22,0.0,59,8,0
2018-03-29 14:00:00,23,0.0,55,6,2
2018-03-29 15:00:00,23,0.0,54,6,2
2018-03-29 16:00:00,23,0.0,55,6,2
2018-03-29 17:00:00,22,0.0,55,7,2
2018-03-29 18:00:00,21,0.0,65,5,0
2018-03-29 19:00:00,20,0.0,74,0,0
2018-03-29 20:00:00,18,0.0,81,7,0
2018-03-29 21:00:00,18,0.0,82,4,2
2018-03-29 22:00:00,18,0.0,84,6,0
2018-03-29 23:00:00,17,0.0,88,4,1
2018-03-30 00:00:00,16,0.0,92,7,0
2018-03-30 01:00:00,16,0.0,93,4,1
2018-03-30 02:00:00,15,0.0,95,7,0
2018-03-30 03:00:00,14,0.0,96,5,1
2018-03-30 04:00:00,14,0.0,97,6,1
2018-03-30 05:00:00,14,0.0,97,7,1
2018-03-30 06:00:00,15,0.0,98,0,0
2018-03-30 07:00:00,15,0.0,98,5,0
2018-03-30 08:00:00,18,0.0,86,7,2
