AH_AnalogNo,AH_Time,AH_Value
19534,2017-01-01 00:06:56.000,775729.024
19534,2017-01-01 00:21:58.000,775730.429
19534,2017-01-01 00:41:57.000,775731.008
19534,2017-01-01 01:01:56.000,775732.429
19534,2017-01-01 01:21:57.000,775733.429
19534,2017-01-01 01:36:58.000,775734.016
19534,2017-01-01 01:56:57.000,775735.429
19534,2017-01-01 02:16:59.000,775736
19534,2017-01-01 02:37:00.000,775737.024
19534,2017-01-01 02:52:01.000,775738.429
19534,2017-01-01 03:12:02.000,775739.008
19534,2017-01-01 03:31:59.000,775740.032
19534,2017-01-01 03:47:00.000,775741.429
19534,2017-01-01 04:06:58.000,775742.016
19534,2017-01-01 04:21:59.000,775743.429
19534,2017-01-01 04:41:57.000,775744
19534,2017-01-01 05:01:57.000,775745.024
19534,2017-01-01 05:16:58.000,775746.429
19534,2017-01-01 05:36:57.000,775747.008
19534,2017-01-01 05:56:57.000,775748.429
19534,2017-01-01 06:11:57.000,775749.429
19534,2017-01-01 06:31:57.000,775750.016
19534,2017-01-01 06:46:57.000,775751.429
19534,2017-01-01 07:01:58.000,775752
19534,2017-01-01 07:06:56.000,775753.024
19534,2017-01-01 07:16:58.000,775754.429
19534,2017-01-01 07:26:58.000,775755.008
19534,2017-01-01 07:31:59.000,775756.032
19534,2017-01-01 07:41:59.000,775757.429
19534,2017-01-01 07:51:58.000,775758.016
19534,2017-01-01 07:56:58.000,775759.429
19534,2017-01-01 08:07:08.000,775760
19534,2017-01-01 08:17:08.000,775761.024
19534,2017-01-01 08:27:09.000,775762.429
19534,2017-01-01 08:32:08.000,775763.008
19534,2017-01-01 08:42:09.000,775764.429
19534,2017-01-01 08:52:08.000,775765.429
19534,2017-01-01 08:57:09.000,775766.016
19534,2017-01-01 09:07:07.000,775767.429
19534,2017-01-01 09:12:09.000,775768
19534,2017-01-01 09:17:07.000,775769.024
19534,2017-01-01 09:22:08.000,775770.429
19534,2017-01-01 09:32:09.000,775771.008
19534,2017-01-01 09:37:09.000,775772.032
19534,2017-01-01 09:42:07.000,775773.429
19534,2017-01-01 09:47:07.000,775774.016
19534,2017-01-01 09:57:08.000,775775.429
19534,2017-01-01 10:02:09.000,775776
19534,2017-01-01 10:07:09.000,775777.024
19534,2017-01-01 10:12:09.000,775778.429
19534,2017-01-01 10:22:09.000,775779.008
19534,2017-01-01 10:27:08.000,775780.429
19534,2017-01-01 10:32:09.000,775781.429
19534,2017-01-01 10:37:08.000,775782.016
