Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018/4/3 11:00,25,0,63,2,3
2018/4/3 12:00,25,0,64,1,2
2018/4/3 13:00,25,0,62,2,2
2018/4/3 14:00,26,0,62,2,2
2018/4/3 15:00,26,0,61,2,2
2018/4/3 16:00,25,0,60,1,2
2018/4/3 17:00,24,0,64,2,2
2018/4/3 18:00,22,0,70,1,2
2018/4/3 19:00,21,0,73,1,2
2018/4/3 20:00,21,0,77,1,0
2018/4/3 21:00,20,0,82,1,2
2018/4/3 22:00,20,0,85,1,2
2018/4/3 23:00,20,0,87,2,1
2018/4/4 0:00,19,0,87,1,1
2018/4/4 1:00,19,0,90,1,1
2018/4/4 2:00,19,0,92,1,1
2018/4/4 3:00,19,0,92,1,1
2018/4/4 4:00,19,0,89,6,1
2018/4/4 5:00,18,0,93,6,2
2018/4/4 6:00,16,0,95,6,2
2018/4/4 7:00,15,0,95,6,2
2018/4/4 8:00,13,0,95,6,1
2018/4/4 9:00,13,0,93,7,3
2018/4/4 10:00,12,0,92,6,2
2018/4/4 11:00,12,0,91,5,2
2018/4/4 12:00,12,0,89,0,2
2018/4/4 13:00,12,0,89,6,2
2018/4/4 14:00,12,0,89,7,2
2018/4/4 15:00,12,0,88,7,1
2018/4/4 16:00,12,0,86,4,1
2018/4/4 17:00,11,0,85,7,1
2018/4/4 18:00,11,0,86,6,1
2018/4/4 19:00,11,0,89,7,2
2018/4/4 20:00,11,0,90,6,1
2018/4/4 21:00,11,0,91,7,1
2018/4/4 22:00,11,0,90,7,1
2018/4/4 23:00,11,0,90,7,1
2018/4/5 0:00,11,0,89,5,1
2018/4/5 1:00,11,0,90,6,1
2018/4/5 2:00,11,0,90,5,2
2018/4/5 3:00,11,0,92,7,1
2018/4/5 4:00,10,0,93,7,1
2018/4/5 5:00,10,0,94,0,1
2018/4/5 6:00,10,0,94,0,1
2018/4/5 7:00,11,0,94,0,1
2018/4/5 8:00,11,0,91,1,1
2018/4/5 9:00,13,0,88,7,1
2018/4/5 10:00,13,0,83,7,2
2018/4/5 11:00,13,0,82,6,2
2018/4/5 12:00,13,0,84,6,2
2018/4/5 13:00,13,0,86,6,1
2018/4/5 14:00,12,0,90,7,1
2018/4/5 15:00,12,0.4,93,7,1
2018/4/5 16:00,12,3.3,96,7,1
2018/4/5 17:00,11,2.1,95,7,1
2018/4/5 18:00,11,0,92,5,2
2018/4/5 19:00,9,1.4,92,5,2
2018/4/5 20:00,9,4.4,94,6,1
2018/4/5 21:00,8,5.1,95,6,2
2018/4/5 22:00,8,0.6,91,6,1
2018/4/5 23:00,8,0.8,91,4,2
