Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-04-06 00:00:00,7,1.4,94,4,2
2018-04-06 01:00:00,7,0.3,94,4,1
2018-04-06 02:00:00,7,0.5,95,2,1
2018-04-06 03:00:00,7,0.0,93,4,2
2018-04-06 04:00:00,7,0.4,93,3,2
2018-04-06 05:00:00,8,0.1,92,4,1
2018-04-06 06:00:00,8,0.0,92,3,2
2018-04-06 07:00:00,8,0.0,87,2,1
2018-04-06 08:00:00,9,0.0,76,5,2
2018-04-06 09:00:00,11,0.1,64,5,3
2018-04-06 10:00:00,12,0.0,66,5,2
2018-04-06 11:00:00,14,0.0,56,4,2
2018-04-06 12:00:00,15,0.0,47,3,2
2018-04-06 13:00:00,15,0.0,38,5,2
2018-04-06 14:00:00,15,0.0,34,6,2
2018-04-06 15:00:00,16,0.0,33,6,2
2018-04-06 16:00:00,15,0.0,28,5,2
2018-04-06 17:00:00,15,0.0,33,5,2
2018-04-06 18:00:00,14,0.0,28,4,2
2018-04-06 19:00:00,13,0.0,34,3,2
2018-04-06 20:00:00,12,0.0,24,1,1
2018-04-06 21:00:00,12,0.0,26,5,1
2018-04-06 22:00:00,12,0.0,28,5,1
2018-04-06 23:00:00,12,0.0,31,5,1
2018-04-07 00:00:00,11,0.0,35,5,1
