Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-03-28 13:00:00,27,0.0,34,3,2
2018-03-28 14:00:00,28,0.0,31,2,2
2018-03-28 15:00:00,27,0.0,32,2,2
2018-03-28 19:00:00,21,0.0,68,1,0
2018-03-28 20:00:00,19,0.0,71,1,0
2018-03-28 21:00:00,18,0.0,79,2,1
2018-03-28 22:00:00,17,0.0,84,1,1
2018-03-28 23:00:00,17,0.0,89,1,1
2018-03-29 00:00:00,17,0.0,85,0,1
2018-03-29 01:00:00,17,0.0,86,1,1
2018-03-29 02:00:00,18,0.0,80,1,1
2018-03-29 03:00:00,18,0.0,82,1,1
2018-03-29 04:00:00,17,0.0,86,7,1
2018-03-29 05:00:00,17,0.0,86,1,0
2018-03-29 06:00:00,17,0.0,84,5,1
2018-03-29 07:00:00,18,0.0,75,2,1
2018-03-29 08:00:00,18,0.0,78,2,2
2018-03-29 09:00:00,19,0.0,74,5,2
2018-03-29 10:00:00,20,0.0,74,7,2
2018-03-29 11:00:00,20,0.0,70,1,3
2018-03-29 12:00:00,21,0.0,65,0,1
2018-03-29 13:00:00,22,0.0,59,8,0
2018-03-29 14:00:00,23,0.0,55,6,2
2018-03-29 15:00:00,23,0.0,54,6,2
2018-03-29 16:00:00,23,0.0,55,6,2
2018-03-29 17:00:00,22,0.0,55,7,2
2018-03-29 18:00:00,21,0.0,65,5,0
2018-03-29 19:00:00,20,0.0,74,0,0
