Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-04-05 00:00:00,11,0.0,82,7,0
2018-04-05 01:00:00,11,0.0,83,0,1
2018-04-05 02:00:00,11,0.0,84,0,1
2018-04-05 03:00:00,11,0.0,85,7,0
2018-04-05 04:00:00,11,0.0,86,5,0
2018-04-05 05:00:00,11,0.0,86,7,0
2018-04-05 06:00:00,11,0.0,87,0,1
2018-04-05 07:00:00,11,0.0,87,7,1
2018-04-05 08:00:00,12,0.0,85,7,1
2018-04-05 09:00:00,13,0.0,82,7,1
2018-04-05 10:00:00,14,0.0,78,5,0
2018-04-05 11:00:00,14,0.0,77,1,1
2018-04-05 12:00:00,14,0.0,77,0,1
2018-04-05 13:00:00,13,0.0,81,7,1
2018-04-05 14:00:00,13,0.0,85,7,1
2018-04-05 15:00:00,13,0.9,90,0,1
2018-04-05 16:00:00,12,2.9,92,0,0
2018-04-05 17:00:00,12,1.2,91,7,0
2018-04-05 18:00:00,11,0.0,88,4,1
2018-04-05 19:00:00,9,1.4,90,7,1
2018-04-05 20:00:00,9,4.1,92,5,1
2018-04-05 21:00:00,8,3.2,92,5,1
2018-04-05 22:00:00,8,0.2,91,4,1
2018-04-05 23:00:00,7,0.6,91,3,1
2018-04-06 00:00:00,7,1.2,92,4,0
