Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018/4/3 11:00,24,0,62,7,2
2018/4/3 12:00,25,0,59,7,1
2018/4/3 13:00,26,0,57,0,2
2018/4/3 14:00,26,0,56,0,2
2018/4/3 15:00,26,0,59,6,1
2018/4/3 16:00,25,0,59,4,1
2018/4/3 17:00,24,0,62,4,1
2018/4/3 18:00,23,0,67,7,1
2018/4/3 19:00,22,0,69,3,1
2018/4/3 20:00,21,0,73,7,1
2018/4/3 21:00,21,0,78,6,0
2018/4/3 22:00,20,0,80,7,0
2018/4/3 23:00,20,0,82,0,1
2018/4/4 0:00,20,0,83,7,1
2018/4/4 1:00,19,0,85,1,1
2018/4/4 2:00,19,0,86,0,0
2018/4/4 3:00,19,0,88,1,0
2018/4/4 4:00,19,0,86,1,0
2018/4/4 5:00,19,0,87,7,1
2018/4/4 6:00,17,0,89,6,1
2018/4/4 7:00,16,0,89,0,1
2018/4/4 8:00,14,0,89,7,1
2018/4/4 9:00,14,0,87,0,1
2018/4/4 10:00,13,0,86,5,2
2018/4/4 11:00,13,0,85,4,1
2018/4/5 7:00,11,0,87,7,1
2018/4/5 8:00,12,0,85,7,1
2018/4/5 9:00,13,0,82,7,1
2018/4/5 10:00,14,0,78,5,0
2018/4/5 11:00,14,0,77,1,1
2018/4/5 12:00,14,0,77,0,1
2018/4/5 13:00,13,0,81,7,1
2018/4/5 14:00,13,0,85,7,1
2018/4/5 15:00,13,0.9,90,0,1
2018/4/5 16:00,12,2.9,92,0,0
2018/4/5 17:00,12,1.2,91,7,0
2018/4/5 18:00,11,0,88,4,1
2018/4/5 19:00,9,1.4,90,7,1
2018/4/5 20:00,9,4.1,92,5,1
2018/4/5 21:00,8,3.2,92,5,1
2018/4/5 22:00,8,0.2,91,4,1
2018/4/5 23:00,7,0.6,91,3,1
2018/4/6 0:00,7,1.2,92,4,0
2018/4/6 1:00,7,0.2,92,2,0
2018/4/6 2:00,7,0.1,92,6,0
2018/4/6 3:00,7,0.1,92,5,1
2018/4/6 4:00,7,0.5,92,5,0
2018/4/6 5:00,8,0.1,91,6,1
2018/4/6 6:00,8,0,91,4,1
2018/4/6 7:00,8,0,88,5,0
2018/4/6 8:00,9,0,77,2,1
2018/4/6 9:00,10,0,69,5,1
2018/4/6 10:00,11,0,68,4,1
2018/4/6 11:00,13,0,56,4,1
2018/4/6 12:00,15,0,48,5,1
2018/4/6 13:00,15,0,37,4,1
2018/4/6 14:00,15,0,35,4,1
2018/4/6 15:00,15,0,34,7,1
2018/4/6 16:00,15,0,35,3,1
2018/4/6 17:00,15,0,32,6,1
2018/4/6 18:00,14,0,27,5,1
2018/4/6 19:00,13,0,26,6,1
2018/4/6 20:00,13,0,29,5,1
2018/4/6 21:00,12,0,29,5,1
2018/4/6 22:00,12,0,29,5,1
2018/4/6 23:00,11,0,35,5,0
2018/4/7 0:00,11,0,33,5,0
2018/4/7 1:00,11,0,34,0,1
2018/4/7 2:00,10,0,52,1,1
2018/4/7 3:00,9,0,53,5,1
2018/4/7 4:00,9,0,58,5,0
2018/4/7 5:00,8,0,56,4,1
2018/4/7 6:00,8,0,50,4,0
2018/4/7 7:00,8,0,40,6,1
2018/4/7 8:00,9,0,31,5,1
2018/4/7 9:00,11,0,25,1,1
2018/4/7 10:00,12,0,22,4,1
2018/4/7 11:00,13,0,23,4,1
2018/4/7 12:00,13,0,18,3,1
2018/4/7 13:00,14,0,21,4,2
2018/4/7 14:00,15,0,18,4,1
2018/4/7 15:00,14,0,21,6,1
2018/4/7 16:00,14,0,19,7,1
2018/4/7 17:00,13,0,20,3,1
2018/4/7 18:00,12,0,23,5,1
2018/4/7 19:00,12,0,27,5,0
2018/4/7 20:00,11,0,29,8,0
2018/4/7 21:00,11,0,32,3,0
2018/4/7 22:00,10,0,34,3,0
2018/4/7 23:00,10,0,35,3,0
2018/4/8 0:00,9,0,40,3,0
2018/4/8 1:00,9,0,43,3,0
2018/4/8 2:00,9,0,46,3,0
2018/4/8 3:00,8,0,48,3,0
2018/4/8 4:00,8,0,47,3,0
2018/4/8 5:00,8,0,51,3,0
2018/4/8 6:00,9,0,58,5,0
2018/4/8 7:00,10,0,58,7,0
2018/4/8 8:00,12,0,47,7,1
2018/4/8 9:00,14,0,40,4,1
2018/4/8 10:00,16,0,28,7,1
2018/4/8 11:00,18,0,27,4,1
2018/4/8 12:00,19,0,26,3,1
2018/4/8 13:00,20,0,29,5,1
2018/4/8 14:00,21,0,23,6,2
2018/4/8 15:00,21,0,21,1,1
2018/4/8 16:00,21,0,26,5,0
2018/4/8 17:00,20,0,27,5,1
2018/4/8 18:00,19,0,35,3,0
2018/4/8 19:00,17,0,47,3,0
2018/4/8 20:00,16,0,56,0,1
2018/4/8 21:00,15,0,64,0,1
2018/4/8 22:00,15,0,69,2,0
2018/4/8 23:00,14,0,70,2,0
2018/4/9 0:00,14,0,66,2,0
2018/4/9 1:00,14,0,61,2,0
2018/4/9 2:00,14,0,60,8,0
2018/4/9 3:00,13,0,58,3,0
2018/4/9 4:00,13,0,59,3,0
2018/4/9 5:00,13,0,62,2,0
2018/4/9 6:00,13,0,63,2,0
2018/4/9 7:00,13,0,61,2,0
2018/4/9 8:00,16,0,47,4,0
2018/4/9 9:00,19,0,34,5,1
2018/4/9 10:00,22,0,33,4,1
2018/4/9 11:00,24,0,27,0,1
2018/4/9 12:00,25,0,28,7,1
2018/4/9 13:00,25,0,26,6,1
2018/4/9 14:00,26,0,19,6,1
2018/4/9 15:00,25,0,17,4,2
2018/4/9 16:00,24,0,24,7,1
2018/4/9 17:00,23,0,25,7,1
2018/4/9 18:00,21,0,27,0,1
2018/4/9 19:00,20,0,33,7,1
2018/4/9 20:00,19,0,43,7,1
2018/4/9 21:00,18,0,60,5,0
2018/4/9 22:00,18,0,69,0,1
2018/4/9 23:00,17,0,70,7,1
2018/4/10 0:00,17,0,73,0,1
2018/4/10 1:00,16,0,74,6,0
2018/4/10 2:00,16,0,72,2,0
2018/4/10 3:00,16,0,76,7,1
2018/4/10 4:00,15,0,76,6,0
2018/4/10 5:00,16,0,71,4,0
2018/4/10 6:00,16,0,69,2,1
2018/4/10 7:00,17,0,69,2,1
2018/4/10 8:00,19,0,57,4,1
2018/4/10 9:00,21,0,53,4,1
2018/4/10 10:00,23,0,48,4,1
2018/4/10 11:00,25,0,44,4,1
2018/4/10 12:00,26,0,40,0,1
2018/4/10 13:00,27,0,36,0,2
2018/4/10 14:00,27,0,40,3,1
2018/4/10 15:00,27,0,39,4,1
2018/4/10 16:00,27,0,39,4,1
2018/4/10 17:00,25,0,52,7,1
2018/4/10 18:00,23,0,57,5,0
2018/4/10 19:00,22,0,60,7,1
2018/4/10 20:00,21,0,56,6,0
2018/4/10 21:00,20,0,54,0,1
2018/4/10 22:00,20,0,54,0,1
2018/4/10 23:00,20,0,55,0,1
2018/4/11 0:00,18,0,59,2,0
2018/4/11 1:00,18,0,60,3,0
2018/4/11 2:00,18,0,61,2,0
2018/4/11 3:00,18,0,64,2,0
2018/4/11 4:00,18,0,66,2,0
2018/4/11 5:00,19,0,66,2,0
2018/4/11 6:00,18,0,69,3,0
2018/4/11 7:00,19,0,68,3,0
2018/4/11 8:00,21,0,60,8,0
2018/4/11 9:00,24,0,56,5,1
2018/4/11 10:00,26,0,45,0,1
2018/4/11 11:00,26,0,52,7,1
2018/4/11 12:00,25,0,43,7,1
