Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-04-03 11:00:00,24,0.0,62,7,2
2018-04-03 12:00:00,25,0.0,59,7,1
2018-04-03 13:00:00,26,0.0,57,0,2
2018-04-03 14:00:00,26,0.0,56,0,2
2018-04-03 15:00:00,26,0.0,59,6,1
2018-04-03 16:00:00,25,0.0,59,4,1
2018-04-03 17:00:00,24,0.0,62,4,1
2018-04-03 18:00:00,23,0.0,67,7,1
2018-04-03 19:00:00,22,0.0,69,3,1
2018-04-03 20:00:00,21,0.0,73,7,1
2018-04-03 21:00:00,21,0.0,78,6,0
2018-04-03 22:00:00,20,0.0,80,7,0
2018-04-03 23:00:00,20,0.0,82,0,1
2018-04-04 00:00:00,20,0.0,83,7,1
2018-04-04 01:00:00,19,0.0,85,1,1
2018-04-04 02:00:00,19,0.0,86,0,0
2018-04-04 03:00:00,19,0.0,88,1,0
2018-04-04 04:00:00,19,0.0,86,1,0
2018-04-04 05:00:00,19,0.0,87,7,1
2018-04-04 06:00:00,17,0.0,89,6,1
2018-04-04 07:00:00,16,0.0,89,0,1
2018-04-04 08:00:00,14,0.0,89,7,1
2018-04-04 09:00:00,14,0.0,87,0,1
2018-04-04 10:00:00,13,0.0,86,5,2
2018-04-04 11:00:00,13,0.0,85,4,1
