Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-04-01 00:00:00,16,0.0,93,3,0
2018-04-01 01:00:00,16,0.0,94,3,0
2018-04-01 02:00:00,15,0.0,95,3,0
2018-04-01 03:00:00,15,0.0,96,3,0
2018-04-01 04:00:00,15,0.0,96,3,0
2018-04-01 05:00:00,15,0.0,97,3,0
2018-04-01 06:00:00,15,0.0,97,3,0
2018-04-01 07:00:00,16,0.0,97,3,0
2018-04-01 08:00:00,18,0.0,95,5,0
2018-04-01 09:00:00,19,0.0,90,2,0
2018-04-01 10:00:00,21,0.0,77,2,1
2018-04-01 11:00:00,23,0.0,61,3,0
2018-04-01 12:00:00,23,0.0,65,2,1
2018-04-01 13:00:00,25,0.0,59,2,1
2018-04-01 14:00:00,26,0.0,57,4,2
2018-04-01 15:00:00,26,0.0,57,2,2
2018-04-01 16:00:00,27,0.0,52,4,2
2018-04-01 17:00:00,26,0.0,59,4,2
2018-04-01 18:00:00,25,0.0,61,3,1
2018-04-01 19:00:00,22,0.0,79,2,0
2018-04-01 20:00:00,20,0.0,89,2,0
2018-04-01 21:00:00,19,0.0,90,3,0
2018-04-01 22:00:00,19,0.0,90,2,1
2018-04-01 23:00:00,18,0.0,94,2,0
2018-04-02 00:00:00,18,0.0,96,8,0
