Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-03-29 00:00:00,17,0.0,85,0,1
2018-03-29 01:00:00,17,0.0,86,1,1
2018-03-29 02:00:00,18,0.0,80,1,1
2018-03-29 03:00:00,18,0.0,82,1,1
2018-03-29 04:00:00,17,0.0,86,7,1
2018-03-29 05:00:00,17,0.0,86,1,0
2018-03-29 06:00:00,17,0.0,84,5,1
2018-03-29 07:00:00,18,0.0,75,2,1
2018-03-29 08:00:00,18,0.0,78,2,2
2018-03-29 09:00:00,19,0.0,74,5,2
2018-03-29 10:00:00,20,0.0,74,7,2
2018-03-29 11:00:00,20,0.0,70,1,3
2018-03-29 12:00:00,21,0.0,65,0,1
2018-03-29 13:00:00,22,0.0,59,8,0
2018-03-29 14:00:00,23,0.0,55,6,2
2018-03-29 15:00:00,23,0.0,54,6,2
2018-03-29 16:00:00,23,0.0,55,6,2
2018-03-29 17:00:00,22,0.0,55,7,2
2018-03-29 18:00:00,21,0.0,65,5,0
2018-03-29 19:00:00,20,0.0,74,0,0
2018-03-29 20:00:00,18,0.0,81,7,0
2018-03-29 21:00:00,18,0.0,82,4,2
2018-03-29 22:00:00,18,0.0,84,6,0
2018-03-29 23:00:00,17,0.0,88,4,1
2018-03-30 00:00:00,16,0.0,92,7,0
2018-03-30 01:00:00,16,0.0,93,4,1
2018-03-30 02:00:00,15,0.0,95,7,0
2018-03-30 03:00:00,14,0.0,96,5,1
2018-03-30 04:00:00,14,0.0,97,6,1
2018-03-30 05:00:00,14,0.0,97,7,1
2018-03-30 06:00:00,15,0.0,98,0,0
2018-03-30 07:00:00,15,0.0,98,5,0
2018-03-30 08:00:00,18,0.0,86,7,2
2018-03-30 09:00:00,21,0.0,73,7,2
2018-03-30 10:00:00,22,0.0,65,7,2
2018-03-30 11:00:00,24,0.0,60,6,2
2018-03-30 12:00:00,25,0.0,58,6,3
2018-03-30 13:00:00,25,0.0,53,0,1
2018-03-30 14:00:00,26,0.0,50,7,2
2018-03-30 15:00:00,27,0.0,45,7,2
2018-03-30 16:00:00,26,0.0,47,7,2
2018-03-30 17:00:00,25,0.0,53,6,2
2018-03-30 18:00:00,24,0.0,58,6,2
2018-03-30 19:00:00,21,0.0,64,6,2
2018-03-30 20:00:00,20,0.0,67,7,2
2018-03-30 21:00:00,19,0.0,72,6,1
2018-03-30 22:00:00,18,0.0,75,7,2
2018-03-30 23:00:00,17,0.0,80,6,2
2018-03-31 00:00:00,17,0.0,82,7,2
2018-03-31 01:00:00,16,0.0,84,6,1
2018-03-31 02:00:00,15,0.0,86,6,1
2018-03-31 03:00:00,15,0.0,84,6,2
2018-03-31 04:00:00,16,0.0,78,7,2
2018-03-31 05:00:00,15,0.0,78,7,2
2018-03-31 06:00:00,15,0.0,82,7,0
2018-03-31 07:00:00,15,0.0,87,7,1
2018-03-31 08:00:00,16,0.0,78,7,2
2018-03-31 09:00:00,18,0.0,72,7,1
2018-03-31 10:00:00,19,0.0,67,7,1
2018-03-31 11:00:00,21,0.0,58,6,1
2018-03-31 12:00:00,22,0.0,61,6,2
2018-03-31 13:00:00,24,0.0,45,4,1
2018-03-31 14:00:00,26,0.0,42,6,1
2018-03-31 15:00:00,26,0.0,43,4,2
2018-03-31 16:00:00,26,0.0,44,3,1
2018-03-31 17:00:00,26,0.0,46,5,1
2018-03-31 18:00:00,25,0.0,54,5,0
2018-03-31 19:00:00,21,0.0,73,0,0
2018-03-31 20:00:00,19,0.0,81,3,0
2018-03-31 21:00:00,18,0.0,87,2,0
2018-03-31 22:00:00,17,0.0,91,4,1
2018-03-31 23:00:00,17,0.0,91,3,0
2018-04-01 00:00:00,16,0.0,93,3,0
2018-04-01 01:00:00,16,0.0,94,3,0
2018-04-01 02:00:00,15,0.0,95,3,0
2018-04-01 03:00:00,15,0.0,96,3,0
2018-04-01 04:00:00,15,0.0,96,3,0
2018-04-01 05:00:00,15,0.0,97,3,0
2018-04-01 06:00:00,15,0.0,97,3,0
2018-04-01 07:00:00,16,0.0,97,3,0
2018-04-01 08:00:00,18,0.0,95,5,0
2018-04-01 09:00:00,19,0.0,90,2,0
2018-04-01 10:00:00,21,0.0,77,2,1
2018-04-01 11:00:00,23,0.0,61,3,0
2018-04-01 12:00:00,23,0.0,65,2,1
2018-04-01 13:00:00,25,0.0,59,2,1
2018-04-01 14:00:00,26,0.0,57,4,2
2018-04-01 15:00:00,26,0.0,57,2,2
2018-04-01 16:00:00,27,0.0,52,4,2
2018-04-01 17:00:00,26,0.0,59,4,2
2018-04-01 18:00:00,25,0.0,61,3,1
2018-04-01 19:00:00,22,0.0,79,2,0
2018-04-01 20:00:00,20,0.0,89,2,0
2018-04-01 21:00:00,19,0.0,90,3,0
2018-04-01 22:00:00,19,0.0,90,2,1
2018-04-01 23:00:00,18,0.0,94,2,0
2018-04-02 00:00:00,18,0.0,96,8,0
2018-04-02 01:00:00,18,0.0,96,6,1
2018-04-02 02:00:00,18,0.0,96,2,0
2018-04-02 03:00:00,18,0.0,96,2,0
2018-04-02 04:00:00,18,0.1,97,2,0
