ID,DepID,DepCode,EnterpriseID,Consumption,LastTestTime
40873808,10,1008,2,0,2018/8/1 0:59
40874379,10,1008,2,0,2018/8/1 1:59
40874950,10,1008,2,0,2018/8/1 0:59
40875521,10,1008,2,0,2018/8/1 1:59
40876092,10,1008,2,0,2018/8/1 2:59
40876663,10,1008,2,0,2018/8/1 3:59
40877234,10,1008,2,0,2018/8/1 4:59
40877805,10,1008,2,0,2018/8/1 5:59
40878376,10,1008,2,0,2018/8/1 6:59
40878947,10,1008,2,0,2018/8/1 7:59
40879518,10,1008,2,0,2018/8/1 8:59
40880089,10,1008,2,0,2018/8/1 9:59
40880660,10,1008,2,0,2018/8/1 10:59
40881231,10,1008,2,0,2018/8/1 11:59
40881802,10,1008,2,0,2018/8/1 12:59
40882373,10,1008,2,321.24,2018/8/1 13:59
40882944,10,1008,2,0,2018/8/1 0:59
40883515,10,1008,2,0,2018/8/1 1:59
40884086,10,1008,2,0,2018/8/1 2:59
40884657,10,1008,2,0,2018/8/1 3:59
40885228,10,1008,2,0,2018/8/1 4:59
40885799,10,1008,2,0,2018/8/1 5:59
40886370,10,1008,2,0,2018/8/1 6:59
40886941,10,1008,2,0,2018/8/1 7:59
40887512,10,1008,2,0,2018/8/1 8:59
40888083,10,1008,2,0,2018/8/1 9:59
40888654,10,1008,2,0,2018/8/1 10:59
40889225,10,1008,2,0,2018/8/1 11:59
40889796,10,1008,2,0,2018/8/1 12:59
40890367,10,1008,2,321.24,2018/8/1 13:59
40890938,10,1008,2,8.77,2018/8/1 14:59
40891509,10,1008,2,7.28,2018/8/1 15:59
40892080,10,1008,2,6.81,2018/8/1 16:59
40892651,10,1008,2,5.91,2018/8/1 17:59
40893222,10,1008,2,5.55,2018/8/1 18:59
40893793,10,1008,2,5.96,2018/8/1 19:59
40894364,10,1008,2,4.24,2018/8/1 20:59
40894935,10,1008,2,4.21,2018/8/1 21:59
40895506,10,1008,2,3.21,2018/8/1 22:59
40896077,10,1008,2,2.96,2018/8/1 23:59
40896648,10,1008,2,3.04,2018/8/2 0:59
40897219,10,1008,2,3.02,2018/8/2 1:59
40897790,10,1008,2,2.88,2018/8/2 2:59
40898361,10,1008,2,2.82,2018/8/2 3:59
40898932,10,1008,2,2.9,2018/8/2 4:59
40899503,10,1008,2,0,2018/8/2 5:59
40900074,10,1008,2,0,2018/8/2 6:59
41168020,10,1008,2,0,2018/8/1 0:59
41168591,10,1008,2,0,2018/8/1 1:59
41169162,10,1008,2,0,2018/8/1 2:59
41169733,10,1008,2,0,2018/8/1 3:59
41170304,10,1008,2,0,2018/8/1 4:59
41170875,10,1008,2,0,2018/8/1 5:59
41171446,10,1008,2,0,2018/8/1 6:59
41172017,10,1008,2,0,2018/8/1 7:59
41172588,10,1008,2,0,2018/8/1 8:59
41173159,10,1008,2,0,2018/8/1 9:59
41173730,10,1008,2,0,2018/8/1 10:59
41174301,10,1008,2,0,2018/8/1 11:59
41174872,10,1008,2,0,2018/8/1 12:59
41175443,10,1008,2,321.24,2018/8/1 13:59
41176014,10,1008,2,8.77,2018/8/1 14:59
41176585,10,1008,2,7.28,2018/8/1 15:59
41177156,10,1008,2,6.81,2018/8/1 16:59
41177727,10,1008,2,5.91,2018/8/1 17:59
41178298,10,1008,2,5.55,2018/8/1 18:59
41178869,10,1008,2,5.96,2018/8/1 19:59
41179440,10,1008,2,4.24,2018/8/1 20:59
41180011,10,1008,2,4.21,2018/8/1 21:59
41180582,10,1008,2,3.21,2018/8/1 22:59
41181153,10,1008,2,2.96,2018/8/1 23:59
41181724,10,1008,2,3.04,2018/8/2 0:59
41182295,10,1008,2,3.02,2018/8/2 1:59
41182866,10,1008,2,2.88,2018/8/2 2:59
41183437,10,1008,2,2.82,2018/8/2 3:59
41184008,10,1008,2,2.9,2018/8/2 4:59
41184579,10,1008,2,0,2018/8/2 5:59
41185150,10,1008,2,0,2018/8/2 6:59
41185721,10,1008,2,4.12,2018/8/2 7:59
41186292,10,1008,2,3.04,2018/8/2 0:59
41186863,10,1008,2,3.02,2018/8/2 1:59
41187434,10,1008,2,2.88,2018/8/2 2:59
41188005,10,1008,2,2.82,2018/8/2 3:59
41188576,10,1008,2,2.9,2018/8/2 4:59
41189147,10,1008,2,0,2018/8/2 5:59
41189718,10,1008,2,0,2018/8/2 6:59
41190289,10,1008,2,4.12,2018/8/2 7:59
41190860,10,1008,2,6.63,2018/8/2 8:59
41191431,10,1008,2,7.23,2018/8/2 9:59
41192002,10,1008,2,6.69,2018/8/2 10:59
41192573,10,1008,2,5.83,2018/8/2 11:59
41193144,10,1008,2,6.18,2018/8/2 12:59
41193715,10,1008,2,6.18,2018/8/2 13:59
41194286,10,1008,2,6.94,2018/8/2 14:59
41194857,10,1008,2,6.78,2018/8/2 15:59
41195428,10,1008,2,6.31,2018/8/2 16:59
41195999,10,1008,2,5.51,2018/8/2 17:59
41196570,10,1008,2,4.98,2018/8/2 18:59
41197141,10,1008,2,4.26,2018/8/2 19:59
41197712,10,1008,2,4.28,2018/8/2 20:59
41198283,10,1008,2,3.66,2018/8/2 21:59
41198854,10,1008,2,2.88,2018/8/2 22:59
41199425,10,1008,2,2.81,2018/8/2 23:59
41199996,10,1008,2,2.74,2018/8/3 0:59
41200567,10,1008,2,2.69,2018/8/3 1:59
41201138,10,1008,2,2.59,2018/8/3 2:59
41201709,10,1008,2,2.75,2018/8/3 3:59
41202280,10,1008,2,2.65,2018/8/3 4:59
41202851,10,1008,2,2.63,2018/8/3 5:59
41203422,10,1008,2,2.89,2018/8/3 6:59
41203993,10,1008,2,4.03,2018/8/3 7:59
41204564,10,1008,2,4.67,2018/8/3 8:59
41205135,10,1008,2,6.24,2018/8/3 9:59
41205706,10,1008,2,6.83,2018/8/3 10:59
41206277,10,1008,2,6.32,2018/8/3 11:59
41206848,10,1008,2,6.82,2018/8/3 12:59
41207419,10,1008,2,6.63,2018/8/3 13:59
41207990,10,1008,2,6.96,2018/8/3 14:59
41208561,10,1008,2,6.89,2018/8/3 15:59
41209132,10,1008,2,6.28,2018/8/3 16:59
41209703,10,1008,2,5.55,2018/8/3 17:59
41210274,10,1008,2,4.92,2018/8/3 18:59
41210845,10,1008,2,4.48,2018/8/3 19:59
41211416,10,1008,2,3.81,2018/8/3 20:59
41211987,10,1008,2,4.23,2018/8/3 21:59
41212558,10,1008,2,2.64,2018/8/3 22:59
41213129,10,1008,2,2.47,2018/8/3 23:59
41213700,10,1008,2,2.52,2018/8/4 0:59
41214271,10,1008,2,2.46,2018/8/4 1:59
41214842,10,1008,2,2.51,2018/8/4 2:59
41215413,10,1008,2,2.19,2018/8/4 3:59
41215984,10,1008,2,2.86,2018/8/4 4:59
41216555,10,1008,2,2.52,2018/8/4 5:59
41217126,10,1008,2,2.55,2018/8/4 6:59
41217697,10,1008,2,4.19,2018/8/4 7:59
41218268,10,1008,2,4.49,2018/8/4 8:59
41218839,10,1008,2,4.92,2018/8/4 9:59
41219410,10,1008,2,5.29,2018/8/4 10:59
41219981,10,1008,2,5.48,2018/8/4 11:59
41220552,10,1008,2,5.83,2018/8/4 12:59
41221123,10,1008,2,5.38,2018/8/4 13:59
41221694,10,1008,2,6.02,2018/8/4 14:59
41222265,10,1008,2,6.06,2018/8/4 15:59
41222836,10,1008,2,5.34,2018/8/4 16:59
41223407,10,1008,2,5.16,2018/8/4 17:59
41223978,10,1008,2,5.2,2018/8/4 18:59
41224549,10,1008,2,4.9,2018/8/4 19:59
41225120,10,1008,2,4.37,2018/8/4 20:59
41225691,10,1008,2,4.37,2018/8/4 21:59
41226262,10,1008,2,2.73,2018/8/4 22:59
41226833,10,1008,2,2.62,2018/8/4 23:59
41227404,10,1008,2,2.6,2018/8/5 0:59
41227975,10,1008,2,2.66,2018/8/5 1:59
41228546,10,1008,2,2.54,2018/8/5 2:59
41229117,10,1008,2,2.59,2018/8/5 3:59
41229688,10,1008,2,2.61,2018/8/5 4:59
41230259,10,1008,2,2.43,2018/8/5 5:59
41230830,10,1008,2,2.62,2018/8/5 6:59
41231401,10,1008,2,3.68,2018/8/5 7:59
41231972,10,1008,2,4.14,2018/8/5 8:59
41232543,10,1008,2,5.45,2018/8/5 9:59
41233114,10,1008,2,5.78,2018/8/5 10:59
41233685,10,1008,2,5.4,2018/8/5 11:59
41234256,10,1008,2,5.67,2018/8/5 12:59
41234827,10,1008,2,5.71,2018/8/5 13:59
41235398,10,1008,2,6.74,2018/8/5 14:59
41235969,10,1008,2,6.39,2018/8/5 15:59
41236540,10,1008,2,6.67,2018/8/5 16:59
41237111,10,1008,2,6.04,2018/8/5 17:59
41237682,10,1008,2,6.04,2018/8/5 18:59
41238253,10,1008,2,4.8,2018/8/5 19:59
41238824,10,1008,2,4.15,2018/8/5 20:59
41239395,10,1008,2,4.36,2018/8/5 21:59
41239966,10,1008,2,2.73,2018/8/5 22:59
41240537,10,1008,2,3.73,2018/8/5 23:59
41241108,10,1008,2,2.59,2018/8/6 0:59
41241679,10,1008,2,2.66,2018/8/6 1:59
41242250,10,1008,2,2.62,2018/8/6 2:59
41242821,10,1008,2,2.61,2018/8/6 3:59
41243392,10,1008,2,2.67,2018/8/6 4:59
41243963,10,1008,2,2.56,2018/8/6 5:59
41244534,10,1008,2,2.93,2018/8/6 6:59
41245105,10,1008,2,3.98,2018/8/6 7:59
41245676,10,1008,2,5.56,2018/8/6 8:59
41246247,10,1008,2,8.58,2018/8/6 9:59
41246818,10,1008,2,7.46,2018/8/6 10:59
41247389,10,1008,2,6.45,2018/8/6 11:59
41247960,10,1008,2,6.11,2018/8/6 12:59
41248531,10,1008,2,7.01,2018/8/6 13:59
41249102,10,1008,2,7.69,2018/8/6 14:59
41249673,10,1008,2,7.71,2018/8/6 15:59
41250244,10,1008,2,7.18,2018/8/6 16:59
41250815,10,1008,2,6.74,2018/8/6 17:59
41251386,10,1008,2,5.55,2018/8/6 18:59
41251957,10,1008,2,5.74,2018/8/6 19:59
41252528,10,1008,2,4.51,2018/8/6 20:59
41253099,10,1008,2,5.14,2018/8/6 21:59
41253670,10,1008,2,3.46,2018/8/6 22:59
41254241,10,1008,2,3.16,2018/8/6 23:59
41254812,10,1008,2,2.88,2018/8/7 0:59
41255383,10,1008,2,2.71,2018/8/7 1:59
41255954,10,1008,2,2.85,2018/8/7 2:59
41256525,10,1008,2,2.62,2018/8/7 3:59
41257096,10,1008,2,2.58,2018/8/7 4:59
41257667,10,1008,2,2.69,2018/8/7 5:59
41258238,10,1008,2,3.43,2018/8/7 6:59
41258809,10,1008,2,4.87,2018/8/7 7:59
41259380,10,1008,2,4.89,2018/8/7 8:59
41259951,10,1008,2,6.23,2018/8/7 9:59
41260522,10,1008,2,5.71,2018/8/7 10:59
41261093,10,1008,2,0,2018/8/7 11:59
41261664,10,1008,2,0,2018/8/7 12:59
41262235,10,1008,2,19.19,2018/8/7 13:59
41262806,10,1008,2,7.02,2018/8/7 14:59
41263377,10,1008,2,6.66,2018/8/7 15:59
41263948,10,1008,2,6.09,2018/8/7 16:59
41264519,10,1008,2,4.95,2018/8/7 17:59
41265090,10,1008,2,4.94,2018/8/7 18:59
41265661,10,1008,2,4.62,2018/8/7 19:59
41266232,10,1008,2,3.68,2018/8/7 20:59
41266803,10,1008,2,3.84,2018/8/7 21:59
41267374,10,1008,2,2.59,2018/8/7 22:59
41267945,10,1008,2,2.74,2018/8/7 23:59
41268516,10,1008,2,2.68,2018/8/8 0:59
41269087,10,1008,2,2.62,2018/8/8 1:59
41269658,10,1008,2,2.53,2018/8/8 2:59
41270229,10,1008,2,2.56,2018/8/8 3:59
41270800,10,1008,2,2.39,2018/8/8 4:59
41271371,10,1008,2,2.43,2018/8/8 5:59
41271942,10,1008,2,2.58,2018/8/8 6:59
41272513,10,1008,2,3.98,2018/8/8 7:59
41273084,10,1008,2,5.76,2018/8/8 8:59
41273655,10,1008,2,7.02,2018/8/8 9:59
41274226,10,1008,2,6.69,2018/8/8 10:59
41274797,10,1008,2,6.79,2018/8/8 11:59
41275368,10,1008,2,5.99,2018/8/8 12:59
